Book_name,Author,Original_language,First_published,Approximate_sales,Genre
A Tale of Two Cities,Charles Dickens,English,1859,>200 million,Historical fiction
The Little Prince,Antoine de Saint-Exupéry,French,1943,200 million,Fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million,Fantasy
And Then There Were None,Agatha Christie,English,1939,100 million,Mystery
Dream of the Red Chamber,Cao Xueqin,Chinese,1791,100 million,Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100 million,Fantasy
She: A History of Adventure,H. Rider Haggard,English,1887,83 million,Adventure
The Da Vinci Code,Dan Brown,English,2003,80 million,Mystery
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million,Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million,Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million,Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 million,Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million,Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million,Fantasy
The Alchemist,Paulo Coelho,Portuguese,1988,65 million,Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65 million,Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60 million,Romance
One Hundred Years of Solitude,Gabriel García Márquez,Spanish,1967,50 million,Magic realism
Lolita,Vladimir Nabokov,English,1955,50 million,Novel
Heidi,Johanna Spyri,German,1880,50 million,Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million,Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million,Children's novel
Black Beauty,Anna Sewell,English,1877,50 million,Children's literature
The Name of the Rose,Umberto Eco,Italian,1980,50 million,Historical novel
The Eagle Has Landed,Jack Higgins,English,1975,50 million,War
Watership Down,Richard Adams,English,1972,50 million,Fantasy
The Hite Report,Shere Hite,English,1976,50 million,Sexology
Charlotte's Web,E. B. White,English,1952,50 million,Children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50 million,Novel
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million,Children's Literature
