"annotation_id","annotator","condition_label","created_at","id","lead_time","medical_abstract","sentiment","updated_at"
5,"1",3,"2024-04-06T20:17:30.099449Z",1,520.593,"Quantifying language development from birth to 3 years using the Early Language Milestone Scale. A point-scoring technique for the Early Language Milestone Scale is described. Normative data based on the original 1982 cross-sectional sample and validation data based on a separate longitudinal sample are presented. Mean Early Language Milestone Scale point scores, standard deviations, and percentile equivalents for raw point scores are presented for all ages from birth to 36 months. Correlations between point scores on the Early Language Milestone Scale and scores on other standardized developmental tests such as the Stanford-Binet Intelligence Scale, the Peabody Picture Vocabulary Test, and the Illinois Test of Psycholinguistic Abilities are presented. The clinical and research advantages of this point-scoring technique are presented and compared with the original pass/fail scoring method. ","nervous system diseases","2024-04-06T20:18:04.237342Z"
6,"1",3,"2024-04-06T20:18:41.585714Z",2,10.603,"Accessory arm--dysraphism or disparity? Case report. The case of a 3-month-old infant with an accessory third arm is reported. The extra appendage was attached at the midcervical region and was associated with posterior cervical dysraphism and a cervical cord lipoma. Possible theories of origin are examined. ","digestive system diseases","2024-04-06T20:18:41.586826Z"
7,"1",1,"2024-04-06T20:19:19.253793Z",3,30.304,"The dichotomous distribution of gastrinomas. Our experience with 47 sporadic gastrinomas suggests that no less than 85% of these tumors are located to the right of the superior mesenteric artery. This finding is unexpected because approximately 75% of insulinomas and glucagonomas are located to the left of the superior mesenteric artery. All of our extrapancreatic gastrinomas have been located to the right. These observations prompted us to determine if other extrapancreatic gastrinomas were also predominantly located to the right side. We searched the world's literature and found 10 cases of ovarian gastrinomas and one case of a renal gastrinoma. Nine of these remote extrapancreatic gastrinomas were located on the right side. This distribution of remote extrapancreatic gastrinomas is similar to our experience with peripancreatic gastrinomas. This unexpected right-sided preponderance of both remote and peripancreatic gastrinomas suggests a common origin for both. ","neoplasms","2024-04-06T20:19:19.253793Z"
8,"1",5,"2024-04-06T20:19:53.833237Z",4,26.009,"Coronary angioplasty after coronary bypass surgery: initial results and late outcome in 422 patients. From 1978 to 1988, coronary angioplasty was performed in 422 patients with prior coronary artery bypass surgery (264 patients with native coronary artery angioplasty and 158 patients with graft angioplasty). Angioplasty was successful in 84%, unsuccessful but uncomplicated in 11% and complicated by one or more major cardiac events in 5% (myocardial infarction 5%, emergency bypass surgery 2% and death 0.2%). Follow-up data were obtained in 99% of 356 patients with successful angioplasty. At a mean of 33 +/- 26 months, 92% were alive, 73% had improvement in angina and 61% were free of angina. One or more of the following late events occurred in 67 patients (19%): myocardial infarction (6%), elective reoperation (13%) and cardiac death (6%). Repeat angioplasty was performed in 27%, with a success rate of 89% and no deaths. Initial success rates were equal in native vessel versus graft angioplasty, but late outcome was less favorable with the latter because of a higher rate of infarction (11% versus 4%, p less than 0.05) and need for reoperation (19% versus 10%, p less than 0.05). The initial success rate was higher in vein grafts less than 1 year old compared with grafts 1 to 4 years or greater than 4 years after operation (92% versus 85% versus 83%, respectively) and adverse late events were less frequent after angioplasty in recent vein grafts (less than 1 year 13%, 1 to 4 years 35%, greater than 4 years 29%; less than 1 versus greater than 1 year, p less than 0.05). ","cardiovascular diseases","2024-04-06T20:19:53.833237Z"
9,"1",4,"2024-04-06T20:21:38.110782Z",5,101.586,"A positron emission tomographic comparison of pulmonary vascular permeability during the adult respiratory distress syndrome and pneumonia. We measured extravascular density (EVD) and the pulmonary transcapillary escape rate (PTCER) for 68Ga-transferrin using positron emission tomography in 14 normal volunteers and 29 patients with radiographic infiltrates, including six patients with congestive heart failure (CHF), eight patients with the adult respiratory distress syndrome (ARDS), and 15 patients with focal pneumonia. Contralateral, radiographically normal regions were also evaluated in the patients with focal pneumonia. Mean EVD was elevated in the patients with CHF, ARDS, and pneumonia in regions of radiographic infiltrate compared with values from normal subjects (p less than 0.05), but it was not significantly different among the three patient groups. PTCER in normal subjects and in patients with CHF was not significantly different (21 +/- 11 versus 44 +/- 16 x 10(-4) min-1, respectively, p = NS). PTCER was elevated in regions of infiltrate because of either pneumonia (173 +/- 99) or ARDS (170 +/- 79). PTCER was also elevated in regions contralateral to those with focal infiltrate during pneumonia, even though these regions were radiographically normal and had normal EVD values. These results suggest that PTCER is a sensitive but nonspecific index of abnormal pulmonary vascular permeability, which may be useful for classifying patients in clinical studies of pulmonary edema. ","general pathological conditions","2024-04-06T20:21:38.110782Z"
10,"1",2,"2024-04-06T20:21:53.284479Z",6,13.262,"Late cholangitis after successful surgical repair of biliary atresia. Bacterial cholangitis is a frequent complication of successful surgical repair of biliary atresia, occurring in 93% of patients before the age of 1 year, but thought to be rare after 2 years of age. Among 76 children free of jaundice more than 5 years after operation, four presented with late cholangitis (7 to 13.5 years old), consisting of fever, jaundice, and abdominal pain with biochemical features of an inflammatory process and cholestasis. Liver biopsy specimens consistently demonstrated histological features of cholangitis, growth of microorganism, or both. Cholangitis subsided spontaneously in one patient or in response to intravenous administration of antibiotics. Cholangiography consistently demonstrated biliary abnormalities but no definite obstruction to the bilioenteric anastomosis. All the children had good hepatic function 3 weeks to 4 years after the episode of cholangitis. These results suggest that cholangitis may occur several years after surgery but does not seem to alter prognosis. ","digestive system diseases","2024-04-06T20:21:53.284479Z"
11,"1",5,"2024-04-06T20:22:45.482586Z",7,49.002,"Pregnancy-induced hypertension and acute fatty liver of pregnancy: atypical presentations. Severe pregnancy-induced hypertension and markedly elevated levels of serum alkaline phosphatase developed in a 29-year-old-woman in whom one pregnancy resulted in intrauterine death. Acute fatty liver of pregnancy developed with good fetal outcome in the next pregnancy. This case suggests that pregnancy-induced hypertension and acute fatty liver of pregnancy are part of a clinical spectrum. Moreover, classic abnormalities of liver function tests need not be present in acute fatty liver of pregnancy. ","general pathological conditions","2024-04-06T20:22:45.482586Z"
12,"1",2,"2024-04-06T20:23:06.681014Z",8,16.558,"Selective intestinal decontamination increases serum and ascitic fluid C3 levels in cirrhosis. Selective intestinal decontamination for 7 days with norfloxacin was performed in 14 cirrhotic patients with ascites and low ascitic fluid total protein. Variations in serum and ascitic fluid of C3 and C4 and ascitic fluid total protein after therapy were compared with those of a control group of 14 untreated patients with similar characteristics. After oral norfloxacin administration, we saw a significant increase of C3 in serum (p less than 0.05) and ascitic fluid (p = 0.01). A significant increase was also observed in ascitic fluid total protein (p less than 0.05) but not in serum and ascitic fluid C4. There were no changes in serum C3, ascitic fluid C3, ascitic fluid C4 or in ascitic fluid total protein in group 2. These data demonstrate that selective intestinal decontamination increases serum and ascitic fluid C3 levels and, therefore, might be useful in preventing spontaneous infections in cirrhotic patients at high risk of infection. ","digestive system diseases","2024-04-06T20:23:06.681014Z"
13,"1",5,"2024-04-06T20:23:20.480433Z",9,12.152,"Diffuse alveolar haemorrhage associated with progressive systemic sclerosis. A 41 year old man with an eight year history of progressive systemic sclerosis developed severe diffuse alveolar haemorrhage and died. The importance of diffuse alveolar haemorrhage as a rare but potentially serious complication of connective tissue disease should not be overlooked. ","general pathological conditions","2024-04-06T20:23:20.480433Z"
14,"1",5,"2024-04-06T20:35:41.114840Z",10,738.931,"Background review and current concepts of reperfusion injury. We define the concept of reperfusion injury, and we present a background chronology of experimental work supporting and questioning this concept. We identify several new influences, such as current clinical interest in thrombolytic therapy for acute ischemia of heart and brain and the growing recognition of endothelium as a regulator of homeostasis. We propose that these influences will encourage a reexamination of reperfusion injury as a factor in the ultimate outcome of tissue exposed to reversible ischemia. We briefly discuss the major mechanisms presently implicated in reperfusion injury--loss of calcium homeostasis, free radical generation, leukocyte-mediated injury, and acute hypercholesterolemia. ","cardiovascular diseases","2024-04-06T20:35:41.114840Z"
